jaspar_id,jaspar_name,correlation
MA0834.2,ATF7,0.08824106386678554
MA0102.5,CEBPA,0.08598498367332545
MA1557.1,SMAD5,0.08378475730888048
MA0793.2,POU6F2,0.08224694836760202
MA0826.1,OLIG1,0.08137053353618966
MA0914.2,ISL2,0.08100246703447535
MA0833.3,ATF4,0.07983141250672567
MA1136.1,FOSB::JUNB,0.07768272347347502
MA1127.1,FOSB::JUN,0.0738905860259587
MA0019.2,Ddit3::Cebpa,0.07170768371544896
MA1131.2,FOSL2::JUN,0.07050672724409081
MA0817.2,BHLHE23,0.06974972482289393
MA1129.1,FOSL1::JUN,0.06612820452239529
MA0606.3,Nfat5,0.06309277127067435
MA0594.3,HOXA9,0.06217493097925229
MA2337.1,Nr1h3,0.062012558008486214
MA0070.2,PBX1,0.06196010814908008
MA1636.2,CEBPG,0.05700060584066599
MA0523.2,TCF7L2,0.05646713295460063
MA1139.2,FOSL2::JUNB,0.05535920615307911
MA0906.2,HOXC12,0.05514143318365573
MA0461.3,Atoh1,0.05498663284777241
MA0769.3,TCF7,0.0533546092707264
MA1649.2,ZBTB12,0.05290058127076088
MA0018.5,CREB1,0.04680013106408312
MA1633.2,BACH1,0.046798265308122936
MA0623.2,NEUROG1,0.0415491017079003
MA0738.2,HIC2,0.03975803683565424
MA1143.2,FOSL1::JUND,0.03828848397175671
MA0037.5,Gata3,0.03817842059843648
MA0650.4,Hoxa13,0.037703657538313756
MA1536.2,NR2C2,0.0374061275222946
MA0142.1,Pou5f1::Sox2,0.037299763271122714
MA0683.2,POU4F2,0.036253946048888555
MA0795.1,SMAD3,0.03522686863493464
MA0873.2,HOXD12,0.03473411223356982
MA1535.2,NR2C1,0.032962461797130256
MA0615.2,Gmeb1,0.031167547403996243
MA0642.3,EN2,0.030989758794698927
MA1974.2,ZNF211,0.030543937170847336
MA0862.1,GMEB2,0.029079179631717182
